"Gene.names","Protein.names","Organism","Length"
"REL","Proto-oncogene c-Rel","Homo sapiens (Human)",619
"MECOM EVI1 MDS1 PRDM3","Histone-lysine N-methyltransferase MECOM (EC 2.1.1.-) (Ecotropic virus integration site 1 protein homolog) (EVI-1) (MDS1 and EVI1 complex locus protein) (Myelodysplasia syndrome 1 protein) (Myelodysplasia syndrome-associated protein 1)","Homo sapiens (Human)",1230
"NSD1 ARA267 KMT3B","Histone-lysine N-methyltransferase, H3 lysine-36 specific (EC 2.1.1.357) (Androgen receptor coactivator 267 kDa protein) (Androgen receptor-associated protein of 267 kDa) (H3-K36-HMTase) (Lysine N-methyltransferase 3B) (Nuclear receptor-binding SET domain-containing protein 1) (NR-binding SET domain-containing protein)","Homo sapiens (Human)",2696
"PLAG1","Zinc finger protein PLAG1 (Pleiomorphic adenoma gene 1 protein)","Homo sapiens (Human)",500
"HOXA9 HOX1G","Homeobox protein Hox-A9 (Homeobox protein Hox-1G)","Homo sapiens (Human)",272
"PDGFB PDGF2 SIS","Platelet-derived growth factor subunit B (PDGF subunit B) (PDGF-2) (Platelet-derived growth factor B chain) (Platelet-derived growth factor beta polypeptide) (Proto-oncogene c-Sis) (Becaplermin)","Homo sapiens (Human)",241
"PBX1 PRL","Pre-B-cell leukemia transcription factor 1 (Homeobox protein PBX1) (Homeobox protein PRL)","Homo sapiens (Human)",430
"NCOA1 BHLHE74 SRC1","Nuclear receptor coactivator 1 (NCoA-1) (EC 2.3.1.48) (Class E basic helix-loop-helix protein 74) (bHLHe74) (Protein Hin-2) (RIP160) (Renal carcinoma antigen NY-REN-52) (Steroid receptor coactivator 1) (SRC-1)","Homo sapiens (Human)",1441
"EVI2B EVDB","Protein EVI2B (Ecotropic viral integration site 2B protein homolog) (EVI-2B) (CD antigen CD361)","Homo sapiens (Human)",448
"RUNX1 AML1 CBFA2","Runt-related transcription factor 1 (Acute myeloid leukemia 1 protein) (Core-binding factor subunit alpha-2) (CBF-alpha-2) (Oncogene AML-1) (Polyomavirus enhancer-binding protein 2 alpha B subunit) (PEA2-alpha B) (PEBP2-alpha B) (SL3-3 enhancer factor 1 alpha B subunit) (SL3/AKV core-binding factor alpha B subunit)","Homo sapiens (Human)",453
"SKI","Ski oncogene (Proto-oncogene c-Ski)","Homo sapiens (Human)",728
"MXI1 BHLHC11","Max-interacting protein 1 (Max interactor 1) (Class C basic helix-loop-helix protein 11) (bHLHc11)","Homo sapiens (Human)",228
"PIM2","Serine/threonine-protein kinase pim-2 (EC 2.7.11.1) (Pim-2h)","Homo sapiens (Human)",311
"TRIM27 RFP RNF76","Zinc finger protein RFP (EC 2.3.2.27) (RING finger protein 76) (RING-type E3 ubiquitin transferase TRIM27) (Ret finger protein) (Tripartite motif-containing protein 27)","Homo sapiens (Human)",513
"TFPT INO80F","TCF3 fusion partner (INO80 complex subunit F) (Protein FB1)","Homo sapiens (Human)",253
"ROS1 MCF3 ROS","Proto-oncogene tyrosine-protein kinase ROS (EC 2.7.10.1) (Proto-oncogene c-Ros) (Proto-oncogene c-Ros-1) (Receptor tyrosine kinase c-ros oncogene 1) (c-Ros receptor tyrosine kinase)","Homo sapiens (Human)",2347
"TFG","Protein TFG (TRK-fused gene protein)","Homo sapiens (Human)",400
"CCNL1 BM-001 UNQ530/PRO1073","Cyclin-L1 (Cyclin-L)","Homo sapiens (Human)",526
"TAL2 BHLHA19","T-cell acute lymphocytic leukemia protein 2 (TAL-2) (Class A basic helix-loop-helix protein 19) (bHLHa19)","Homo sapiens (Human)",108
"PTTG2","Securin-2 (Pituitary tumor-transforming gene 2 protein)","Homo sapiens (Human)",202
"PTTG3P PTTG3","Putative pituitary tumor-transforming gene 3 protein (hPTTG3) (Securin-3) (rcPTTG1)","Homo sapiens (Human)",202
"SSX1","Protein SSX1 (Cancer/testis antigen 5.1) (CT5.1) (Synovial sarcoma, X breakpoint 1)","Homo sapiens (Human)",188
"TRIM37 KIAA0898 MUL POB1","E3 ubiquitin-protein ligase TRIM37 (EC 2.3.2.27) (Mulibrey nanism protein) (RING-type E3 ubiquitin transferase TRIM37) (Tripartite motif-containing protein 37)","Homo sapiens (Human)",964
"ARHGAP26 GRAF KIAA0621 OPHN1L","Rho GTPase-activating protein 26 (GTPase regulator associated with focal adhesion kinase) (Oligophrenin-1-like protein) (Rho-type GTPase-activating protein 26)","Homo sapiens (Human)",814
"TPR","Nucleoprotein TPR (Megator) (NPC-associated intranuclear protein) (Translocated promoter region protein)","Homo sapiens (Human)",2363
"TAL1 BHLHA17 SCL TCL5","T-cell acute lymphocytic leukemia protein 1 (TAL-1) (Class A basic helix-loop-helix protein 17) (bHLHa17) (Stem cell protein) (T-cell leukemia/lymphoma protein 5)","Homo sapiens (Human)",331
"SS18 SSXT SYT","Protein SSXT (Protein SYT) (Synovial sarcoma translocated to X chromosome protein)","Homo sapiens (Human)",418
"PTTG1 EAP1 PTTG TUTR1","Securin (Esp1-associated protein) (Pituitary tumor-transforming gene 1 protein) (Tumor-transforming protein 1) (hPTTG)","Homo sapiens (Human)",202
"JUN","Transcription factor AP-1 (Activator protein 1) (AP1) (Proto-oncogene c-Jun) (V-jun avian sarcoma virus 17 oncogene homolog) (p39)","Homo sapiens (Human)",331
"RBM15 OTT OTT1","RNA-binding protein 15 (One-twenty two protein 1) (RNA-binding motif protein 15)","Homo sapiens (Human)",977
"TCF3 BHLHB21 E2A ITF1","Transcription factor E2-alpha (Class B basic helix-loop-helix protein 21) (bHLHb21) (Immunoglobulin enhancer-binding factor E12/E47) (Immunoglobulin transcription factor 1) (Kappa-E2-binding factor) (Transcription factor 3) (TCF-3) (Transcription factor ITF-1)","Homo sapiens (Human)",654
"KRAS KRAS2 RASK2","GTPase KRas (K-Ras 2) (Ki-Ras) (c-K-ras) (c-Ki-ras) [Cleaved into: GTPase KRas, N-terminally processed]","Homo sapiens (Human)",189
"WNT3 INT4","Proto-oncogene Wnt-3 (Proto-oncogene Int-4 homolog)","Homo sapiens (Human)",355
"NPM1 NPM","Nucleophosmin (NPM) (Nucleolar phosphoprotein B23) (Nucleolar protein NO38) (Numatrin)","Homo sapiens (Human)",294
"OLIG2 BHLHB1 BHLHE19 PRKCBP2 RACK17","Oligodendrocyte transcription factor 2 (Oligo2) (Class B basic helix-loop-helix protein 1) (bHLHb1) (Class E basic helix-loop-helix protein 19) (bHLHe19) (Protein kinase C-binding protein 2) (Protein kinase C-binding protein RACK17)","Homo sapiens (Human)",323
"PML MYL PP8675 RNF71 TRIM19","Protein PML (Promyelocytic leukemia protein) (RING finger protein 71) (Tripartite motif-containing protein 19)","Homo sapiens (Human)",882
"NRAS HRAS1","GTPase NRas (Transforming protein N-Ras)","Homo sapiens (Human)",189
"SSX2 SSX2A; SSX2B","Protein SSX2 (Cancer/testis antigen 5.2) (CT5.2) (Synovial sarcoma, X breakpoint 2) (Tumor antigen HOM-MEL-40)","Homo sapiens (Human)",188
"STYK1 NOK","Tyrosine-protein kinase STYK1 (EC 2.7.10.2) (Novel oncogene with kinase domain) (Protein PK-unique) (Serine/threonine/tyrosine kinase 1)","Homo sapiens (Human)",422
"RET CDHF12 CDHR16 PTC RET51","Proto-oncogene tyrosine-protein kinase receptor Ret (EC 2.7.10.1) (Cadherin family member 12) (Proto-oncogene c-Ret) [Cleaved into: Soluble RET kinase fragment; Extracellular cell-membrane anchored RET cadherin 120 kDa fragment]","Homo sapiens (Human)",1114
"SPI1","Transcription factor PU.1 (31 kDa-transforming protein)","Homo sapiens (Human)",270
"RAB8A MEL RAB8","Ras-related protein Rab-8A (Oncogene c-mel)","Homo sapiens (Human)",207
"LMO1 RBTN1 RHOM1 TTG1","Rhombotin-1 (Cysteine-rich protein TTG-1) (LIM domain only protein 1) (LMO-1) (T-cell translocation protein 1)","Homo sapiens (Human)",156
"PCM1","Pericentriolar material 1 protein (PCM-1) (hPCM-1)","Homo sapiens (Human)",2024
"TNFRSF17 BCM BCMA","Tumor necrosis factor receptor superfamily member 17 (B-cell maturation protein) (CD antigen CD269)","Homo sapiens (Human)",184
"NTRK1 MTC TRK TRKA","High affinity nerve growth factor receptor (EC 2.7.10.1) (Neurotrophic tyrosine kinase receptor type 1) (TRK1-transforming tyrosine kinase protein) (Tropomyosin-related kinase A) (Tyrosine kinase receptor) (Tyrosine kinase receptor A) (Trk-A) (gp140trk) (p140-TrkA)","Homo sapiens (Human)",796
"RARB HAP NR1B2","Retinoic acid receptor beta (RAR-beta) (HBV-activated protein) (Nuclear receptor subfamily 1 group B member 2) (RAR-epsilon)","Homo sapiens (Human)",455
"CARS1 CARS","Cysteine--tRNA ligase, cytoplasmic (EC 6.1.1.16) (Cysteinyl-tRNA synthetase) (CysRS)","Homo sapiens (Human)",748
"RAF1 RAF","RAF proto-oncogene serine/threonine-protein kinase (EC 2.7.11.1) (Proto-oncogene c-RAF) (cRaf) (Raf-1)","Homo sapiens (Human)",648
"NSD3 WHSC1L1 DC28","Histone-lysine N-methyltransferase NSD3 (EC 2.1.1.-) (Nuclear SET domain-containing protein 3) (Protein whistle) (WHSC1-like 1 isoform 9 with methyltransferase activity to lysine) (Wolf-Hirschhorn syndrome candidate 1-like protein 1) (WHSC1-like protein 1)","Homo sapiens (Human)",1437
"RNF213 ALO17 C17orf27 KIAA1554 KIAA1618 MYSTR","E3 ubiquitin-protein ligase RNF213 (EC 2.3.2.27) (EC 3.6.4.-) (ALK lymphoma oligomerization partner on chromosome 17) (Mysterin) (RING finger protein 213) (RING-type E3 ubiquitin transferase RNF213)","Homo sapiens (Human)",5207
"YES1 YES","Tyrosine-protein kinase Yes (EC 2.7.10.2) (Proto-oncogene c-Yes) (p61-Yes)","Homo sapiens (Human)",543
"SUZ12 CHET9 JJAZ1 KIAA0160","Polycomb protein SUZ12 (Chromatin precipitated E2F target 9 protein) (ChET 9 protein) (Joined to JAZF1 protein) (Suppressor of zeste 12 protein homolog)","Homo sapiens (Human)",739
"LMO2 RBTN2 RBTNL1 RHOM2 TTG2","Rhombotin-2 (Cysteine-rich protein TTG-2) (LIM domain only protein 2) (LMO-2) (T-cell translocation protein 2)","Homo sapiens (Human)",158
"TPM3","Tropomyosin alpha-3 chain (Gamma-tropomyosin) (Tropomyosin-3) (Tropomyosin-5) (hTM5)","Homo sapiens (Human)",285
"MRTFA KIAA1438 MAL MKL1","Myocardin-related transcription factor A (MRTF-A) (MKL/myocardin-like protein 1) (Megakaryoblastic leukemia 1 protein) (Megakaryocytic acute leukemia protein)","Homo sapiens (Human)",931
"SRC SRC1","Proto-oncogene tyrosine-protein kinase Src (EC 2.7.10.2) (Proto-oncogene c-Src) (pp60c-src) (p60-Src)","Homo sapiens (Human)",536
"SET","Protein SET (HLA-DR-associated protein II) (Inhibitor of granzyme A-activated DNase) (IGAAD) (PHAPII) (Phosphatase 2A inhibitor I2PP2A) (I-2PP2A) (Template-activating factor I) (TAF-I)","Homo sapiens (Human)",290
"USP4 UNP UNPH","Ubiquitin carboxyl-terminal hydrolase 4 (EC 3.4.19.12) (Deubiquitinating enzyme 4) (Ubiquitin thioesterase 4) (Ubiquitin-specific-processing protease 4) (Ubiquitous nuclear protein homolog)","Homo sapiens (Human)",963
"TAF15 RBP56 TAF2N","TATA-binding protein-associated factor 2N (68 kDa TATA-binding protein-associated factor) (TAF(II)68) (TAFII68) (RNA-binding protein 56)","Homo sapiens (Human)",592
"FOXO3 FKHRL1 FOXO3A","Forkhead box protein O3 (AF6q21 protein) (Forkhead in rhabdomyosarcoma-like 1)","Homo sapiens (Human)",673
"TFE3 BHLHE33","Transcription factor E3 (Class E basic helix-loop-helix protein 33) (bHLHe33)","Homo sapiens (Human)",575
"SH3GL1 CNSA1 SH3D2B","Endophilin-A2 (EEN fusion partner of MLL) (Endophilin-2) (Extra eleven-nineteen leukemia fusion gene protein) (EEN) (SH3 domain protein 2B) (SH3 domain-containing GRB2-like protein 1)","Homo sapiens (Human)",368
"SEC31A KIAA0905 SEC31L1 HSPC275 HSPC334","Protein transport protein Sec31A (ABP125) (ABP130) (SEC31-like protein 1) (SEC31-related protein A) (Web1-like protein)","Homo sapiens (Human)",1220
"WWTR1 TAZ","WW domain-containing transcription regulator protein 1 (Transcriptional coactivator with PDZ-binding motif)","Homo sapiens (Human)",400
"YAP1 YAP65","Transcriptional coactivator YAP1 (Yes-associated protein 1) (Protein yorkie homolog) (Yes-associated protein YAP65 homolog)","Homo sapiens (Human)",504
"TLX1 HOX11 TCL3","T-cell leukemia homeobox protein 1 (Homeobox protein Hox-11) (Proto-oncogene TCL-3) (T-cell leukemia/lymphoma protein 3)","Homo sapiens (Human)",330
"TBC1D3 PRC17 TBC1D3A","TBC1 domain family member 3 (Prostate cancer gene 17 protein) (Protein TRE17-alpha) (Rab GTPase-activating protein PRC17)","Homo sapiens (Human)",549
"USP6 HRP1 TRE2","Ubiquitin carboxyl-terminal hydrolase 6 (EC 3.4.19.12) (Deubiquitinating enzyme 6) (Proto-oncogene TRE-2) (Ubiquitin thioesterase 6) (Ubiquitin-specific-processing protease 6)","Homo sapiens (Human)",1406
"TCL1A TCL1","T-cell leukemia/lymphoma protein 1A (Oncogene TCL-1) (Oncogene TCL1) (Protein p14 TCL1)","Homo sapiens (Human)",114
"STIL SIL","SCL-interrupting locus protein (TAL-1-interrupting locus protein)","Homo sapiens (Human)",1287
"RHOA ARH12 ARHA RHO12","Transforming protein RhoA (EC 3.6.5.2) (Rho cDNA clone 12) (h12)","Homo sapiens (Human)",193
"RARA NR1B1","Retinoic acid receptor alpha (RAR-alpha) (Nuclear receptor subfamily 1 group B member 1)","Homo sapiens (Human)",462
"TOP1","DNA topoisomerase 1 (EC 5.6.2.1) (DNA topoisomerase I)","Homo sapiens (Human)",765
"TCL1B TCL1","T-cell leukemia/lymphoma protein 1B (Oncogene TCL-1B) (Oncogene TCL1B) (SYN-1) (Syncytiotrophoblast-specific protein) (TCL1/MTCP1-like protein 1)","Homo sapiens (Human)",128
"VAV1 VAV","Proto-oncogene vav","Homo sapiens (Human)",845
"ARHGEF5 TIM","Rho guanine nucleotide exchange factor 5 (Ephexin-3) (Guanine nucleotide regulatory protein TIM) (Oncogene TIM) (Transforming immortalized mammary oncogene) (p60 TIM)","Homo sapiens (Human)",1597
"BCR BCR1 D22S11","Breakpoint cluster region protein (EC 2.7.11.1) (Renal carcinoma antigen NY-REN-26)","Homo sapiens (Human)",1271
"BCAS3","Breast carcinoma-amplified sequence 3 (GAOB1)","Homo sapiens (Human)",928
